﻿Stationsnamn;Stationsnummer;Stationsnät;Mäthöjd (meter över marken)
Växjö Sol;64565;SMHIs stationsnät;2.0

Parameternamn;Beskrivning;Enhet
Global Irradians (svenska stationer);medelvärde 1 timma, varje timme;watt per kvadratmeter
Solskenstid;summa 1 timme, 1 gång/tim;sekund
Långvågs-Irradians;medelvärde 1 timma, varje timme;watt per kvadratmeter

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1983-01-01 00:00:00;2025-04-02 08:20:20;182.0;56.9269;14.7305

Datum;Tid (UTC);Global Irradians (svenska stationer);Kvalitet;Solskenstid;Kvalitet;Långvågs-Irradians;Kvalitet;;Tidsutsnitt:
2015-01-18;23:00:00;0.00;G;0;G;;
2015-01-19;00:00:00;0.00;G;0;G;;
2015-01-19;01:00:00;0.00;G;0;G;;
2015-01-19;02:00:00;0.00;G;0;G;;
2015-01-19;03:00:00;0.00;G;0;G;;
2015-01-19;04:00:00;0.00;G;0;G;;
2015-01-19;05:00:00;0.00;G;0;G;;
2015-01-19;06:00:00;0.00;G;0;G;;
2015-01-19;07:00:00;0.11;G;0;G;;
2015-01-19;08:00:00;2.69;G;0;G;;
2015-01-19;09:00:00;18.90;G;0;G;;
2015-01-19;10:00:00;44.90;G;0;G;;
2015-01-19;11:00:00;54.47;G;0;G;;
2015-01-19;12:00:00;47.42;G;0;G;;
2015-01-19;13:00:00;23.39;G;0;G;;
2015-01-19;14:00:00;13.47;G;0;G;;
2015-01-19;15:00:00;6.19;G;0;G;;
2015-01-19;16:00:00;0.21;G;0;G;;
2015-01-19;17:00:00;0.00;G;0;G;;
2015-01-19;18:00:00;0.00;G;0;G;;
2015-01-19;19:00:00;0.00;G;0;G;;
2015-01-19;20:00:00;0.00;G;0;G;;
2015-01-19;21:00:00;0.00;G;0;G;;
